0,1,2,3,4,5,6,7,8,9,10,11,12,label
-328.71902,162.92415,-16.617193,4.2199044,5.773752,-3.2363532,-1.3702013,-1.1317245,8.137041,12.336257,7.428718,3.2254367,2.225939,siren
-342.88846,145.72241,-10.852372,19.022985,3.7019808,5.783064,-0.17280261,-2.8267794,14.713945,8.847857,11.053619,6.694722,1.722382,siren
-257.08157,148.032,-7.3212004,12.812765,1.1341791,4.1660533,0.40573943,-3.4830017,10.757972,7.6971016,8.880295,4.705696,-1.5385616,siren
-165.1924,129.78127,-54.735615,7.457012,-25.529959,-0.1084886,-14.088448,9.662962,3.739434,-10.958312,-22.66551,-3.2230027,-0.50710046,siren
-186.35059,78.60897,-11.187482,14.122246,-34.263382,-9.53299,18.399345,13.503431,-1.8154818,9.955401,-24.825298,-1.3848848,-10.796918,siren
-284.07303,174.65735,-16.743284,21.168436,-4.233171,5.4669824,-0.4444656,-0.9008943,14.99606,7.661293,10.673045,2.604957,2.1262827,siren
-292.71982,148.4905,7.2885427,8.176066,5.7196827,3.2160702,0.71373826,4.598837,12.098487,12.78749,12.267082,6.44683,-1.3631401,siren
-295.54706,134.41235,0.8784376,0.03876811,-5.4613347,-1.4875106,-0.3017054,2.2230735,12.311044,12.846834,12.43459,7.6372848,-0.68364775,siren
-306.70584,161.01305,-5.9944134,8.4971695,7.183737,3.4405909,0.7604478,3.0182984,15.499284,11.156432,10.973295,6.5888195,-1.150805,siren
-348.39938,161.18756,6.4086065,4.1449623,-7.2977705,-6.0888934,-9.246591,-1.5055767,18.767931,20.421545,20.141405,9.44087,0.09412068,siren
-335.12897,157.45796,-4.920772,3.1297102,2.2821949,0.9562201,-0.8243719,-0.20952569,17.074465,13.416895,9.663589,10.185717,4.77208,siren
-275.2547,185.71606,-14.624513,-3.2939463,-3.557426,0.13505967,1.3326434,-1.0505692,14.839398,11.479779,8.844507,6.968286,0.060228832,siren
-303.31082,161.07939,-3.375991,11.561511,-8.2745285,1.043393,-5.701635,-3.5030675,17.25391,11.784002,14.461385,8.005977,2.4409752,siren
-309.09412,164.84995,-4.7528124,10.713446,-3.4054966,2.540893,-2.9462996,-1.3768126,14.306972,9.493894,13.971177,7.3342276,1.2823571,siren
